Component 1,Component 2,Method,Parameter,group
7.315842058185233,-0.6911879130912915,PCA,n_components: 2,MONOTOPIC MEMBRANE PROTEINS
0.8225533149511259,0.6786251271525559,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
1.252362348042101,1.752511769558853,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
1.394695176826211,1.3677528031850146,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
1.4898557395916172,2.291838373746235,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.7412526108083477,-0.4109674715652418,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.8644294496296219,-0.9954919528437544,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.35542602884462154,-0.9229610492026751,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.3984854040321435,-0.9374930841102308,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
0.4014160036341747,2.915724493781332,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.5537158229253492,2.5110841108820097,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.4014160036341747,2.915724493781332,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
6.708005443083595,0.3896593841044654,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.2589596734964515,-0.31036745623335926,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
7.3158420581852415,-0.6911879130912959,PCA,n_components: 2,MONOTOPIC MEMBRANE PROTEINS
-0.3984854040321435,-0.9374930841102308,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.3697791539071292,-0.927805060838527,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.25776402698908435,-0.25406689018638184,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.7298760579542897,-0.12017773239775036,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.723230164134652,0.03407844177876497,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.7298760579542897,-0.12017773239775036,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.6724635577042603,-0.10080168585434247,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.25707682825353234,-0.2817162943173531,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.4867268292536509,-0.35922048049098493,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.54413932950368,-0.3785965270343928,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
0.8957902802988135,1.2584108690972262,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
1.7890069810840907,1.6358676776083068,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.9244965304238285,1.2680988923689307,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.5724532323209066,2.2893878728889403,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
1.233626788868936,2.225473685342179,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.8814371552363067,1.2535668574613745,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.02885548148961915,1.1363703304874915,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.6365125515017724,2.588652932503991,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.6877118630254354,3.889717213021929,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.5728455796286953,-0.38828455030609693,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
0.9896171870279252,1.2636956152668022,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.5154330793786652,-0.36890850376268874,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.8003729057823505,-1.0731254099140863,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
1.1949489226808707,1.6075028841203194,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-1.2950241266160414,-1.2664451408144415,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.9278432366209439,-0.47393962283131763,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
1.2457164542224601,1.5982555953823399,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.45419010955820005,-0.3140872388482022,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
2.559499217816528,-0.8293009260102073,PCA,n_components: 2,MONOTOPIC MEMBRANE PROTEINS
6.867484692086159,1.0766194308577737,PCA,n_components: 2,MONOTOPIC MEMBRANE PROTEINS
-0.4828963596832146,-0.3237752621199061,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.3680713591831555,-0.28502316903309033,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.5690151100582593,-0.3528393319350182,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.3033614986074299,4.93151053734147,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.34331814801557087,3.623353563128808,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
0.026343573909864915,2.078523513246682,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:BETA-BARREL
-0.721219201403876,1.1421701476597643,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.954792285345491,0.645305494136567,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.5116026098082295,-0.33346328539160996,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.5049567159885917,-0.17920711121509478,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-1.9490812632654118,3.5254050720505465,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.9938844457857512,1.0735307660180389,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.8790594452856921,1.1122828591048546,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
7.3158420581852415,-0.6911879130912959,PCA,n_components: 2,MONOTOPIC MEMBRANE PROTEINS
7.3158420581852415,-0.6911879130912959,PCA,n_components: 2,MONOTOPIC MEMBRANE PROTEINS
0.1660041258244978,-1.101556627417674,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
0.1660041258244978,-1.101556627417674,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.028294656342165988,-1.1407494550382142,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.028294656342165988,-1.1407494550382142,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
-0.2066293740000725,1.923891239984793,PCA,n_components: 2,TRANSMEMBRANE PROTEINS:ALPHA-HELICAL
